,adpcm_dec_main,audiobeam_main,cjpeg_wrbmp_main,dec_main,dijkstra_main,fmref_main,gsm_dec_main,h264_dec_main,huff_dec_main,main_main,ndes_main,petrinet_main,rijndael_dec_main,rijndael_enc_main,statemate_main,wrbmp_main
adpcm_dec_main,0,0,775800,0,191200,0,246600,1841600,0,0,475400,78000,0,0,82600,0
audiobeam_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjpeg_wrbmp_main,768000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dec_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmref_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec_main,116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h264_dec_main,1488800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huff_dec_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndes_main,44110500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petrinet_main,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rijndael_dec_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rijndael_enc_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
statemate_main,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrbmp_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
