Task,Intra,Inter
powerwindow,192883582,25206500
minver,331595,30900
binarysearch,12783,900
prime,1405897,104400
insertsort,97964,3200
fir2dim,511586,21600
petrinet,123843,38300
iir,18798,900
st,5332166,67700
md5,2277540670,1049600
cjpeg_transupp,3029055874,43162900
ndes,3150768,519300
adpcm_dec,216110,51600
dijkstra,46129191455,0
statemate,6373376,1505900
gsm_enc,616126085,418000
fmref,53953828,1075400
pm,821334594,1939200
g723_enc,191015199,51200
huff_dec,45647136,205500
lift,43020825,22081200
h264_dec,92617112,5599900
audiobeam,47194913,46100
gsm_dec,77624170,462000
sha,275896871,200
jfdctint,66003,28000
