,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
adpcm_dec_main,0,228547,228547,0,0,228547,0,0,0,0,0,0,228547,0,0,0,228547,0,0,0,228547,0,0,0,228547,0,0,0,228547,0,0,0,228548
audiobeam_main,47504223,0,0,46599569,46599568,0,0,0,46599569,0,0,46599569,46599568,0,0,46599569,0,0,0,46599569,46599569,46599568,0,46599569,46599569,46599568,0,0,0,0,46599569,46599568,0
binarysearch_main,12991,0,12928,0,12928,12928,0,12928,12928,12928,12928,12928,0,12928,12928,12928,0,12928,12928,12928,12928,0,12928,12928,12928,0,12928,12928,0,12929,12928,12929,0
bsort_main,0,19718806,0,0,0,19717257,19717256,19717257,0,0,0,0,19717257,19717257,19717257,0,19717256,19717257,19717256,19717256,0,19717256,19717257,0,19717257,19717257,19717256,0,19717256,19717257,19717256,0,19717257
cjpeg_wrbmp_main,0,3718350,3993711,0,3593522,0,3593522,3593522,3593522,3593522,3593522,3593522,0,3593522,3593522,3593522,0,3593521,3593522,3593522,0,3593522,3593522,3593522,0,3593522,3593522,3593521,0,3593522,3593522,3593522,0
complex_updates_main,51807,0,51807,52337,0,52336,52336,0,52336,52336,0,52336,52336,52336,0,52336,52336,52336,52336,0,52336,52336,52336,0,52336,52336,0,52336,52336,0,52336,52336,52336
countnegative_main,0,0,0,1643605,1640387,1640387,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605
cover_main,0,0,339916,348485,324342,0,339916,0,0,0,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
dijkstra_main,0,46173104341,46031126377,0,46100506524,46166242659,46053638738,0,0,0,46239265281,46239265281,46239265282,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265282,46239265282,46239265281,46239265281,46239265282,46239265282
fft_main,0,0,4671519941,0,4671020334,4671020334,4671519946,0,0,0,0,0,0,0,0,0,0,0,0,4671067195,4671067195,4671068963,4671068963,0,0,0,0,4670159452,0,0,4671067195,0,0
