,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
adpcm_dec_main,0,0,0.056773,0,0,0.049139,0,0,0,0,0,0,1.978707,0,0,0,19.245042,0,0,0,0.052596,0,0,0,0.019754,0,0,0,0.104013,0,0,0,0.17668
audiobeam_main,0,0,0,859.351421,0,0,0,0,4731.425457,0,0,3612.119503,0,0,0,0,0,0,0,2191.418841,1366.936103,3229.587094,0,6248.939028,417.542441,0,0,0,0,0,0,0,0
binarysearch_main,0.188383,0,0.022513,0,3.256805,0.020071,0,0.128033,0.148444,0.087394,0.045091,0.109126,0,0.318745,0.936758,0.916763,0,0.669224,0.013824,0.108793,0.041895,0,0.024746,0.20387,0.014136,0,1.337587,0.54229,0,0.900235,36.393557,1.654703,0
bsort_main,0,783.722913,0,0,0,0.035103,0.068088,0.238112,0,0,0,0,5.029203,0.550681,1.613606,0,41.845701,1.182334,0.023821,0.123986,0,0.269805,0.065007,0,0.023635,2.919037,0,0,0.322248,1.538192,0,0,0.537119
cjpeg_wrbmp_main,0,0,3.791059,0,795.706388,0,5.776947,35.688837,46.671651,12.928356,12.7779,30.33071,0,84.333542,273.037647,255.587419,0,156.948898,4.679914,16.401688,0,21.601186,5.587939,46.841584,0,341.032328,310.900713,138.447199,0,212.810535,7879.202893,422.836218,0
complex_updates_main,0.154583,0,0.016206,0.030348,0,0.009537,0.018623,0,0.106096,0.041038,0,0.124534,1.457196,0.256961,0,0.635055,20.870148,0.62963,0.009935,0,0.042666,0.075411,0.017635,0,0.014086,1.176565,0,0.36444,0.136549,0,23.216701,1.730666,0.226015
countnegative_main,0,0,0,0.073723,5.57849,0.02365,0.070085,0.317527,0.260943,0.154819,0.129227,0.289169,3.510962,0.581157,1.918516,1.744602,36.896558,1.182147,0.039416,0.18305,0.071221,0.259119,0.043706,0.392767,0.02473,2.844901,3.762721,1.376355,0.320733,1.623677,60.220131,2.955013,0.528298
cover_main,0,0,0.055136,0.110651,11.692202,0,0.142788,0,0,0,0.133597,0.543072,5.322468,0.779025,2.225086,2.173792,55.149483,2.197404,0.071436,0.264121,0.179077,0.25853,0.073687,0.896946,0.061352,4.090463,7.22564,1.467763,0.443609,2.398425,154.562765,10.863863,0.714121
dijkstra_main,0,1140.159451,0.03876,0,8.165837,0.031857,0.067384,0,0,0,0.127136,0.248501,3.275375,0.464575,1.373794,1.783156,44.05735,1.389981,0.050121,0.290534,0.122769,0.154542,0.046593,0.415363,0.037343,2.360907,0,1.49856,0.410115,1.523922,116.32596,5.300558,0.467231
fft_main,0,0,0.032843,0,4.310372,0.017964,0.057033,0,0,0,0,0,0,0,0,0,0,0,0,0.147393,0.073528,0.122454,0.030306,0,0,0,0,0.627833,0,0,50.228709,0,0
filterbank_main,0,0,0.04178,0,5.962193,0,0.065191,0.162337,0.259841,0,0,0.226823,2.794324,0.448731,1.130109,1.319678,24.515938,0.919996,0.021002,0.160476,0.077209,0.119751,0.031649,0.271605,0.02671,1.725642,2.043759,0.663762,0.211133,1.247069,61.814661,2.957663,0.352639
fir2dim_main,0,2697.222845,0.088955,0,21.312919,0.128441,0.232008,1.052852,0.833224,0,0.37612,0,11.58634,2.076919,5.787459,7.843617,142.634017,4.150509,0.082313,0.414329,0.229007,0.619536,0.138656,1.168994,0.125916,9.229512,8.402103,3.094122,1.838051,7.137401,242.693405,10.962562,1.763385
fmref_main,4.211374,0,0,2.326012,0,0.702984,1.421956,4.395458,4.684457,0,1.863415,5.383143,0,0,31.057741,30.372392,752.224325,27.665575,0.691732,4.150755,1.596118,3.166871,1.197595,13.212661,0.54921,0,87.084547,21.555382,5.52307,31.718609,2619.16004,149.555781,9.170835
g723_enc_main,0,0,0.086534,0.151344,22.895143,0.064353,0.156054,0.268077,0.204989,0,0.11641,0.526981,0,0.26579,0.944483,1.066051,43.949181,2.147681,0.104912,0.702617,0.111055,0.107824,0.110506,0.735184,0.041949,1.590184,0,1.677045,0.16495,1.753025,309.739071,15.930862,0.302407
gsm_dec_main,0,0,0.248313,0.43006,72.147579,0,0.475859,0.732362,0.558466,0,0.343131,1.603766,14.575794,0.891238,0,0,0,6.390461,0.199221,2.124672,0.340454,0.29765,0.226592,2.498989,0.183608,0,23.800122,5.855349,0.637979,5.683676,914.483789,44.855114,0.787882
gsm_enc_main,0,0,0.224464,0,67.024512,0.160335,0.396848,0.585187,0.499167,0,0.278986,2.099756,8.909793,0.606738,0,0.954312,110.153473,6.463335,0.257251,1.256918,0.424799,0.186955,0.177902,1.786423,0.099159,2.499817,0,5.985455,0.311148,4.992494,835.162386,38.78466,0.701284
h264_dec_main,45.295883,0,0,22.559196,0,11.326444,15.465865,53.775411,53.227763,0,19.260631,59.798546,922.152235,121.706061,0,295.790141,7350.673553,301.552248,8.093767,47.612314,22.118202,33.557686,11.109111,101.830465,6.041313,0,0,0,71.754759,393.879188,0,1420.985313,121.641362
huff_dec_main,0,0,0.413461,0.759451,88.790433,0.431116,0.721363,3.661459,3.546558,0,1.15852,2.99508,51.810375,9.232619,22.560481,27.5828,487.694959,0,0,3.060239,1.017235,2.446761,0.624072,0,0.511646,34.78988,45.041084,13.109737,4.40473,24.600959,1143.240486,60.161606,7.159691
iir_main,0,0,0.011456,0.021078,3.505226,0.013751,0.031709,0.142647,0.16414,0,0.036144,0.084324,1.647267,0.368853,0.774627,1.005239,15.563384,0,0,0.05578,0.032134,0.079327,0.0286,0.219139,0.010837,1.161977,0,0.404648,0.146166,0.86337,30.623062,2.02123,0.275098
insertsort_main,0,2458.717608,0.123216,0.156126,19.937669,0,0.207899,0.678006,1.010131,0.450255,0.349591,0.588604,11.162417,2.678346,5.84475,5.243385,115.974369,3.996863,0.078489,0,0.225028,0.579104,0.191856,1.124777,0.07493,8.614866,7.476223,2.892696,1.063072,5.21811,165.426311,13.211536,2.494911
jfdctint_main,0.141674,716.825226,0.024078,0,0,0.029472,0.040948,0.234459,0.264621,0.101384,0.083805,0.155322,2.382434,0.357829,1.167304,1.597644,36.155909,0.914937,0.020574,0.109696,0,0,0.03289,0.420966,0.01856,1.751731,2.140964,0.698552,0.21748,1.504735,58.233311,3.134479,0.365112
lift_main,0,911.7697,0,0.084562,6.101558,0.023759,0.082536,0.121654,0.1087,0.054077,0.049204,0.186788,1.809801,0.186846,0.553823,0.494679,17.810121,0.87808,0.02513,0.164078,0,0.064228,0.030848,0.285404,0.01735,1.143752,2.751,0.658574,0.113397,0,95.470039,4.900667,0
lms_main,0,0,0.013945,0.04004,2.881971,0.011961,0.024308,0.10392,0.112459,0.044454,0.036743,0.095118,1.583115,0.357038,0.799866,0.700732,15.879857,0.583114,0.01954,0.100571,0.034812,0.081637,0,0,0,1.422938,1.842529,0.439065,0.146942,0.751806,32.334561,1.753404,0.236996
ludcmp_main,0,3390.758783,0.112606,0,23.130473,0,0.196177,1.417193,1.11849,0,0.348908,0.823026,19.487847,3.443055,7.871623,7.118259,161.587317,0,0.109707,0.53336,0.476199,0.81162,0,0,0,0,0,4.213294,1.493249,7.564071,275.62648,14.239686,2.478385
matrix1_main,0.055599,217.509275,0.007848,0.014178,0,0.009513,0.013554,0.0829,0.086691,0,0.029912,0.084832,0.898957,0.139681,0.504246,0.384673,8.869877,0.45936,0.00722,0.03611,0.019417,0.045937,0,0,0.009482,0.700226,0.686334,0.243125,0.082353,0.427659,18.067446,0.9515,0.136873
md5_main,0,0,0,1.257337,111.080121,0.321184,0.836717,1.622591,1.569694,0,0.696763,2.897857,0,2.21431,0,6.107255,0,12.749671,0.379524,2.72578,0.679885,1.005217,0.482077,0,0.285169,0,0,9.835522,1.389716,11.268345,1704.250404,0,2.828207
minver_main,0,0,1.359603,0,285.007145,0,3.875986,16.3028,0,0,4.17641,10.351569,222.7328,0,89.581613,0,0,61.317447,0,6.626535,3.760114,10.352516,3.043237,0,1.256169,0,0,0,0,0,0,0,0
ndes_main,0,0,0.31309,0,82.489336,0.281596,0.889913,2.224151,3.358972,0.995956,0.839754,2.283936,36.330909,5.870354,19.76423,17.832736,0,13.321734,0.301841,1.618953,0.80684,1.820527,0.48426,4.091097,0.26618,30.187748,0,0,3.89173,20.067186,813.140419,42.674479,5.679456
petrinet_main,0.07764,0,0,0.075724,0,0.032866,0.074355,0.142047,0.182973,0,0.061609,0.438567,2.0326,0.180575,0.775494,0.565953,25.057911,1.274412,0.034931,0.242009,0.061869,0.069898,0.041419,0.382908,0.022489,0.963592,0,0.891323,0,0.967758,139.680847,8.063305,0.190201
powerwindow_main,0,0,0.400311,0.740608,103.56487,0,0.717367,2.173983,2.346547,0,0.886161,3.443795,34.44641,5.05934,17.442687,16.483182,405.384754,14.66708,0.495966,2.14379,0.847058,0,0.509187,4.68092,0.289463,24.337196,0,12.73226,2.975759,0,0,64.83161,0
