Task,Intra,Inter
powerwindow,193599656,1134200
minver,321442,29000
binarysearch,12783,900
prime,1396204,87500
insertsort,97276,800
fir2dim,511585,14700
petrinet,135895,0
iir,18619,300
st,5326201,50500
md5,2257203329,2700
cjpeg_transupp,3029054233,644900
ndes,3493054,238200
adpcm_dec,220674,21400
dijkstra,46129191455,0
statemate,6805604,434700
gsm_enc,616194933,71400
fmref,53847166,181600
pm,822259847,136300
g723_enc,191015199,50200
huff_dec,45647136,41300
lift,43589426,6940300
h264_dec,92775735,432200
audiobeam,47196473,44600
gsm_dec,77695654,88600
sha,274416657,0
jfdctint,64298,24500
