,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
adpcm_dec_main,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228548,228547,228547,228547,228547,228548
audiobeam_main,47239722,0,47522553,47522553,0,47522553,47522553,47522553,47522553,47522553,0,47522553,47522553,47522553,47522553,47522553,47522553,47522554,0,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553,0,47522553,47522553,0,47522553,0,47522553,47522553,47522553
binarysearch_main,12991,12704,12928,12928,12928,12928,12928,12928,12928,12928,0,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12928,12929,12928,12929,12929,12928
bsort_main,19719033,19675152,19719033,19717256,19717257,19717256,19717257,19717256,19717257,19717257,0,0,19717257,19717256,19717257,19717257,19717257,19717257,19717256,19717257,19717256,19717256,19717256,19717256,19717257,19717256,19717257,19717256,19717256,19717257,19717256,19717257,19717257,19717256,19717257,19717257,19717257
cjpeg_transupp_main,3280338324,0,3280338324,3378474143,0,3319543226,3319544217,3319543424,3319544081,3319545382,0,0,3319544080,3319543426,3280338324,3319546350,3319543227,3319545933,3319544190,3319543662,3319545481,3280338324,3280338324,3319543731,3319544736,3319545285,3319544191,3319544611,3319543018,3319545482,3319543747,0,0,3319544918,3319543124,3319543646,3280338324
cjpeg_wrbmp_main,4384368,3828072,3993711,3593631,4104532,3593522,3593522,3593522,3593522,3593522,0,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593521,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593521,3593522,3593522,3593522,3593522,3593522,3593522,3593522
complex_updates_main,51807,52062,51807,52337,52062,52062,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336
countnegative_main,1564109,1640387,1564109,1643605,1640387,1640387,1640387,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605
cover_main,339916,324342,339916,348485,323902,324342,323902,339916,348485,348485,0,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
dijkstra_main,46031124197,46031779007,46031126377,46191798793,46078021827,46100506524,46166242659,46053638738,46054900429,46239265282,0,0,46239265281,46239265281,46239265282,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265282,46239265282,46239265281,46239265281,46239265282,46239265282,46239265282
epic_main,4669,0,0,0,0,0,4702,4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft_main,4671519940,4671020334,4671519941,0,0,4671020334,4671020334,4671519946,4671018566,0,0,0,0,4671068962,4671067196,0,4671068963,0,4671067195,4671067195,4671068962,4671067195,4671067195,4671068963,4671068963,0,0,4671067195,4671067195,4670159452,0,0,4671068962,4671067195,4671067195,4671067195,4671067195
filterbank_main,39929891,39919003,39929891,39916216,39919003,39919003,39919003,39929891,39919003,39916215,0,0,39916216,39916216,39916216,39916216,39916215,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916215,39916216,39916216,39916215,39916215,39916216
