Task,Intra,Inter
powerwindow,193599656,23738900
minver,321442,84600
binarysearch,12783,900
prime,1396204,238200
insertsort,97276,25600
fir2dim,511585,21600
petrinet,135895,0
iir,18619,300
st,5326201,74300
md5,2257203329,2700
cjpeg_transupp,3029054233,43165200
ndes,3493054,533400
adpcm_dec,220674,46500
dijkstra,46129191455,0
statemate,6805604,929700
gsm_enc,616194933,364200
fmref,53847166,1068700
pm,822259847,2305200
g723_enc,191015199,51200
huff_dec,45647136,205500
lift,43589426,19381400
h264_dec,92775735,13034900
audiobeam,47196473,44600
gsm_dec,77695654,446000
sha,274416657,200
jfdctint,64298,30100
