Task,Intra,Inter
powerwindow,192883582,1369500
minver,331595,23700
binarysearch,12783,900
prime,1405897,55500
insertsort,97964,3200
fir2dim,511586,12000
petrinet,123843,32600
iir,18798,900
st,5332166,52100
md5,2277540670,21200
cjpeg_transupp,3029055874,543200
ndes,3150768,220700
adpcm_dec,216110,14000
dijkstra,46129191455,0
statemate,6373376,998600
gsm_enc,616126085,82000
fmref,53953828,274200
pm,821334594,151500
g723_enc,191015199,38400
huff_dec,45647136,30600
lift,43020825,5216800
h264_dec,92617112,762700
audiobeam,47194913,42800
gsm_dec,77624170,104200
sha,275896871,0
jfdctint,66003,25200
