# Type: Normal
cjpeg_wrbmp_finish_output_bmp|Loop in file cjpeg_wrbmp.c near line 120|BB#1:for.cond<header><exiting>_BB#2:for.body_BB#3:if.then_BB#4:if.end_BB#5:for.inc<latch>|30
cjpeg_wrbmp_write_colormap|Loop in file cjpeg_wrbmp.c near line 174|BB#18:for.cond37<header><exiting>_BB#19:for.body40_BB#20:if.then46_BB#21:if.end48_BB#22:for.inc49<latch>|256
cjpeg_wrbmp_write_colormap|Loop in file cjpeg_wrbmp.c near line 186|BB#25:for.cond53<header><exiting>_BB#26:for.body56_BB#27:if.then62_BB#28:if.end64_BB#29:for.inc65<latch>|512
cjpeg_wrbmp_write_colormap|Loop in file cjpeg_wrbmp.c near line 144|BB#3:for.cond<header><exiting>_BB#4:for.body_BB#5:if.then12_BB#6:if.end_BB#7:for.inc<latch>|256
cjpeg_wrbmp_write_colormap|Loop in file cjpeg_wrbmp.c near line 158|BB#10:for.cond14<header><exiting>_BB#11:for.body17_BB#12:if.then29_BB#13:if.end31_BB#14:for.inc32<latch>|256
g723_enc_quan|Loop in file g723_enc.c near line 252|BB#1:for.cond<header><exiting>_BB#2:for.body_BB#3:if.then_BB#4:if.then3_BB#5:if.end_BB#6:if.end4_BB#7:for.inc<latch>|15
g723_enc_predictor_zero|Loop in file g723_enc.c near line 281|BB#1:for.cond<header><exiting>_BB#2:for.body_BB#3:for.inc<latch>|5
g723_enc_update|Loop in file g723_enc.c near line 566|BB#66:for.cond276<header><exiting>_BB#67:for.body279_BB#68:for.inc285<latch>|5
g723_enc_update|Loop in file g723_enc.c near line 550|BB#53:for.cond<header><exiting>_BB#54:for.body_BB#56:if.else241_BB#55:if.then231_BB#57:if.end251_BB#58:if.then254_BB#60:if.else267_BB#59:if.then261_BB#61:if.end273_BB#62:if.end274_BB#63:for.inc<latch>|6
g723_enc_main|Loop in file g723_enc.c near line 866|BB#5:while.cond<header><exiting>_BB#6:while.body<latch>|0
g723_enc_main|Loop in file g723_enc.c near line 858|BB#1:for.cond<header><exiting>_BB#2:for.body_BB#3:for.inc<latch>|256
